page|sector|goal_text|source_doc
190|Health|Increase access to quality health care Infrastructure Katondo and MOH/CDF/C 0 3 1 1 1 development Expansion Makululu Mini O Laboratories Hospitals,Bwacha OPERATING PARTNERS of 3 Increase access to quality health care Infrastructure Chowa , Katondo 0 2 1 1 MOH/CDF development Expansion of 2 urban Pharmacies 172|IDP_MAIN
192|Health|Nursing Follow up of maternal and Officer increase Maternal neonatal deaths in the All wards 15 60 12 12 12 12 12 MCH access to healthcare community Nursing Officer quality MCH health care Nursing Hold maternal and neonatal Officer Increase Maternal All wards 15 60 2 2 2 2 2 MCH Review meetings access to healthcare Nursing Officer quality MCH health care 174|IDP_MAIN
200|Education|Conduct outreach service in and out 100 schools 45 100 100 100 100 100 100 school on SRHR Health Strengthen public education Conduct mentorship MoH, CP health to facilities on promotion delivery of 42 health facilities 15 42 42 42 42 42 42 adolescent health services.|IDP_MAIN
203|Environment|Products Health Sensitization of 50 Education on industries on proper All Chemical 0 50 0 10 10 15 15 Council and safe chemical Wards waste waste management management Objective To promote sustainable environment and natural resource management by the end of 2027 To conduct 59 Forest communities Conduct Health protection All sensitization on 0 59 4 10 20 10 15 Council Education.|IDP_MAIN
205|Governance|2.11 Good Governance Environment The Strategic Development Area on Good Governance Environment seeks to promote adherence to the rule of law, transparency, accountability, consensus-building, responsiveness, equity, inclusiveness, effectiveness and efficiency in service delivery.|IDP_MAIN
210|Unknown|4.5 SPATIAL DEVELOPMENT FRAMEWORK 4.5.1 Introduction The Spatial Development Framework aims to promote sustainable functional and integrated human settlements, maximize resource efficiency, and enhance regional identity and unique character of a place.|IDP_MAIN
211|Unknown|Spatial development and land use control promotes greater urban structure with satellite towns, regional integration with regional development, well planned and manageable land use to accommodate the population increase and economic expansion during next two decades.|IDP_MAIN
211|Roads and Drainages|At the same time, it is essential to improve the spatial outline conditions for such regions where towns are particularly affected by in- and outmigration from other parts of Province/nation and from abroad.|IDP_MAIN
212|Roads and Drainages|The existing instruments of public participation are to be further developed - to the extent appropriate - with the objective of achieving a broad public acceptance of the procedure 4.5.2.4 Spatial Development Models During the IDP planning period 3 scenarios have being discussed which elaborate strategies on how to achieve development in the district.|IDP_MAIN
212|Unknown|The following are the scenarios discussed: ▪ Urban Growth Management: Urban growth Management model seeks to ensure that population growth is matched by access to basic infrastructure, shelter, and employment.|IDP_MAIN
213|Unknown|government or private sector land ownership in key areas to improve growth management) · vi.|IDP_MAIN
214|Unknown|Further, the district will aim to improve the bus route system during the implementation.|IDP_MAIN
214|Unknown|Increase capacity to carry goods for the district to the industrial establishments for the next projection of 10 years from 2023 to 2032.|IDP_MAIN
214|Roads and Drainages|Improve the quality of rail crossings along the main roads causing traffic slow down.|IDP_MAIN
215|Unknown|focus on strategically important routes, such as those which open up new townships to improve links between the districts.|IDP_MAIN
215|Unknown|It would ensure a modern level of infrastructure development and provide transport to open up areas of natural resources around the central province.|IDP_MAIN
215|Environment|The figure below shows proposed rail transportation routes that will enhance rail transportation thus fostering an environment to support private sector engagement.|IDP_MAIN
215|Commerce|As illustrated in figure 3.4.3 a proposed route facilitating transportation of goods and services from neighbouring districts ie Ngabwe, Chisamba, Chibombo, Luano will enhance commerce and trade sector thus offering opportunities to local economic development in the district.|IDP_MAIN
217|Roads and Drainages|An attempt to address this challenge is the construction of minor roads/ grading of roads in these areas and rehabilitate roads that are in deplorable state in urban centres in order to ensure quick access within the district.|IDP_MAIN
222|Environment|Kabwe has a lot of potential natural resources eg Mpima forest reserve, Kalulu forest, Lukanga swamps, Mulungushi dam, hence the need for a strategic approach in order to achieve effective environmental protection.|IDP_MAIN
222|Environment|The following strategies have been formulated to achieve effective environmental protection; ▪ To formulate a green belt zone, maintaining mainly agriculture land and other natural green spaces functioning as a buffer for urban sprawl and environmental and recreational network.|IDP_MAIN
224|Environment|The combination is being used as a means to ensure environmental concerns, economic concerns and social equity concerns are all encompassed on the model chosen for development of the district.|IDP_MAIN
226|Health|4.5.3.5 Land Use Planning Policies and Proposals to Improve, Maintain or Protect the Environmental, Social and Economic Aspects of Development Kabwe district’s future as a vibrant town solely depends on its economic health and must be able to carter to a variety of people of different income levels.|IDP_MAIN
226|Unknown|The demand for bricks has been fast growing due to the increase in population and the demand for housing especially in the urban parts of the district.|IDP_MAIN
226|Environment|The local authority needs to ensure that there is a balanced economic development in relation to protecting the environment.|IDP_MAIN
227|Unknown|The local authority shall ensure sound livelihoods of the local communities through skills training ii.|IDP_MAIN
227|Environment|The local authority through the department of forestry will ensure that they increase forest cover and reduce deforestation and this can only be effectively achieved if alternative livelihoods of people are identified and are linked to actions that can practically manage and improve the resource.|IDP_MAIN
227|Environment|The local authority to ensure the restoration of deforested areas through activities that promote tree planting.|IDP_MAIN
228|Unknown|The local authority to promote properly, coordinated developments within the district to minimise conflicts and encroachments 4.5.3.5.7 Land Use Planning Policies and Proposals for The Protection of National and Regional Interests, Policies and Guide The district is endowed with the Lukanga Swamps which is a permanently swampy area located 50Km west of Kabwe district.|IDP_MAIN
229|Water and Sanitation|The local authority to ensure that no developments or encroachment s take place within the 100 meters buffer zone on water resources within the district.|IDP_MAIN
229|Governance|The local authority to promote effective community participation and stakeholder involvement in the management of water resources Furthermore, the district has forest reserves covering a total surface area of 15, 334 ha.|IDP_MAIN
229|Environment|The local authority shall raise public awareness and environmental education that will promote wise use of land meant for forests and the importance of the forests to the district’s economy ii.|IDP_MAIN
230|Unknown|This increase in population is slowly out spacing the district’s ability to provide these basic social services to its residents.|IDP_MAIN
231|Unknown|Informal settlement upgrading-The local authority shall ensure that land that is under residential use is upgraded as in-situ informal settlement upgrading as it is believed to be the most cost-effective way to enable settlements to transform into dense and liveable places.|IDP_MAIN
231|Unknown|Low-cost infrastructure or housing improvements-the local authority shall ensure that housing units that are already established are improved rather than being reconstructed.|IDP_MAIN
231|Unknown|To strengthen partnerships in urban developments in order to improve on service delivery to the majority poor in the district.|IDP_MAIN
231|Unknown|The Local authority to promote participatory planning by involving the local residents in the upgrading of the settlements in the district v.|IDP_MAIN
231|Unknown|The local authority to promote for partnerships with the public and private sector to provide serviced land vi.|IDP_MAIN
244|Governance|Objective 13:To promote local and diaspora participation in the economy in order to create wealth and employment by 2027 Promote Business Hold Expo Human Enterprise Development 2025 Number of Resource, Development Services Preparatory Entire District prep stationary, Kabwe municipal Kabwe municipal meeting with meeting 15,000 Council/KCCI Council/KCCI Provision.|IDP_MAIN
244|Governance|financial the private held resources sector Hold engagement meetings with Number of Human the business prep Resource, Kabwe municipal KMC/KCC/Cooperati community KMC meeting stationary, 20,000 Council/KCCI ng partners aimed at held to financial promoting PPP promote PP resources and business joint ventures.|IDP_MAIN
248|Education|tn e t n Objective 19: To empower 2,016 youths with skills development under TEVETA by 2027 m e Number of p m Training of Human o le v r e w 2,016 youth tra y i o n u e t d h s b y resource, e d o by TEVETA All wards TEVET financial 5,660,000 KMC, GRZ GRZ, KMC s llik p m E a S p c p h r o o o v ls e d approved r s e ta s t o i u o r n c a e r s y , S schools 230|IDP_MAIN
249|Education|Agency/Dept (ZMW) funds Objective Enhance Access to Quality, Equitable and Inclusive Education by 2027 s Improve Deployment of No.|IDP_MAIN
249|Education|of adult Promote Education/A Opening of 25 Literacy Human GRZ, Adult dult Literacy Adult literacy Munyama and Chinyanja Education Resourc Cooperating MOE Literacy 25,000 Adult Education Centers Centers e partners Program Literacy opened Justine No.|IDP_MAIN
249|Education|of early Establishment of Promote Kabwe,Waya,Chililalila,Na childhood Early 16 more Early Human GRZ, Early koli,Bwacha, centers Childhood childhood centers Resourc Cooperating MOE Childhood Kawama,Bwacha,Chimani established in 25,000 centers in 16 primary e partners Education mani,Kalonga, Kasitu, primary schools Muwowo, East, Luangwa schools Promote Mine, Grace Christian No.|IDP_MAIN
250|Unknown|of staff s e s tn e To construct 900 houses r b y u , ilding GRZ, u m staff houses in the Across the district constructed in Cooperating MOE ff a o t h s p o le v e district by 2027 t 2 h 0 e 2 7 d istrict by m s H , u at m er a i n al 4,544,700 partners n o f o e r u D R e esourc itc u r ts n o C tc u r ts a r f n Rehabilitation of N re o h .|IDP_MAIN
251|Education|of ablution machine GRZ, ablution blocks in blocks ry, Cooperating MOE Enhance 8,000,000 schools.|IDP_MAIN
252|Water and Sanitation|material I s Improve sanitation coverage from 70% to 90% by 2027, Objective Increase solid waste collection and disposal from 40% to 70% by 2027 s Recycle 25% of all solid waste collected by 2027 Maintenan No.|IDP_MAIN
259|Unknown|Cost Potential Strategy Program Activities Location Indicator Input Agency/Dep (ZMW) Source funds t Objectives ENHANCE ACCESS TO QUALITY, EQUITABLE AND INCLUSIVE EDUCTION BY 2027 Deployment of 1490 No.|IDP_MAIN
259|Education|of teachers GRZ, Improve on Teacher Human teachers in the Across the district deployed in the Cooperating MOE staffing levels Deployment Resource 350,000 district.|IDP_MAIN
259|Unknown|district partners Adult Promote Opening of 25 Adult No.|IDP_MAIN
259|Education|of early Promote Early Early more Early childhood a, childhood centers Human GRZ, Childhood Childhood Kawama,Bwacha,C Cooperating MOE centers in 16 primary established in Resource 25,000 Education centers himanimani,Kalon partners schools primary schools ga, Kasitu, Muwowo, East, Luangwa Mine, Grace Christian primary Promote Inclusive Special Establishment of 8 school, Kawama No.|IDP_MAIN
260|Unknown|of staff houses machinery, GRZ, houses in the district Across the district constructed in the building Cooperating MOE of staff houses Development 4,544,700 by 2027 district by 2027 materialsHum partners an Resource No.|IDP_MAIN
261|Education|of Secondary Man power, of an independent day GRZ, Infrastructure schools constructed machinery, independent secondary school at Kasanda Malombe Cooperating MOE development at Kasanda building 8,000,000 school Kasanda Malombe partners Malombe matrerials structure primary school Enhance access Man power, to safe Water Construction of GRZ, Infrastructure No.|IDP_MAIN
261|Water and Sanitation|partners matrerials schools Enhance access to safe Water Drilling of boreholes Man power, GRZ, Infrastructure No.|IDP_MAIN
262|Water and Sanitation|Improve sanitation coverage from 70% to 90% by 2027, Objectives Increase solid waste collection and disposal from 40% to 70% by 2027 Recycle 25% of all solid waste collected by 2027 Pollen (1), Njanji Maintenance Maintenance/ (1), Kachulu (1), No.|IDP_MAIN
280|Environment|Agency/Dept (ZMW) Source funds Objective To reduce the rate of deforestation from by the end of 2027 Development of integrated natural Development of Stationary, resource Forestry Integrated Natural No.|IDP_MAIN
281|Governance|To reduce deforestation Stationary, through Forestry Establishment of 500 All Wards No.|IDP_MAIN
281|Governance|woodlots Fuel, 105,000 FD, KMC, GRZ Forestry Department establishment of management woodlots by 2026 created Human 500 woodlots by resource 2026 To reduce deforestation Forestry Establishment of 100 Stationary, through management agroforestry plots All Wards No.|IDP_MAIN
281|Governance|of plots Fuel, 98,000 FD, KMC, GRZ Forestry Department establishment of created Human 100 agroforestry resource plots by 2026 To reduce deforestation Forestry Establishment of 10 Stationary, through management fruit orchards by 2026 All Wards No.|IDP_MAIN
281|Governance|of orchards Fuel, 350,000 FD, KMC, GRZ Forestry Department establishment of created Human 10 fruit orchards resource by 2026 To reduce deforestation Plantation Stationary, through establishment Establishment of 10 All Wards No.|IDP_MAIN
281|Environment|of tree Fuel, FD, KMC, GRZ Forestry Department establishment of nurseries and tree nurseries Human 450,000 10 tree nurseries created management resource establishment by 2026 To reduce deforestation by Forestry Restocking and No.|IDP_MAIN
281|Environment|Fuel, 450,000 FD, KMC, GRZ Forestry Department managing 2, 000 of trees planted Human gazetted forests ha of gazetted resource forests To reduce deforestation by Forestry Conducting 45 No.|IDP_MAIN
281|Governance|of Stationary, conducting 45 management Community All Wards trainings Fuel, 85,000 FD, KMC, GRZ Forestry Department Community mobilization and Human conducted mobilization and sensitization meeting resource sensitization To reduce deforestation Forestry Formation of 25 No.|IDP_MAIN
282|Governance|Forestry Stationary, To reduce Forestry Conduct 25 Trainings All Wards No.|IDP_MAIN
282|Agriculture|of farmers Fuel, FD, KMC, GRZ Agriculture farmers in Soil fertility trained Human 200,000 Management resource Objective To enhance disaster risk reduction and response mechanisms by 2027 264|IDP_MAIN
283|Environment|of KMC, Forestry, Education on industries on proper Fuel, All Wards sensitization Meteorological KMC, Forestry, Chemical waste and safe chemical Human 45,000 meetings Department management waste management resource Objective To promote sustainable environment and natural resource management by the end of 2027 To conduct 59 Stationary, Forest communities No.|IDP_MAIN
290|Governance|The five-year financial plan is a component of a comprehensive effort by the Council to improve its long‐range financial management and planning.|IDP_MAIN
290|Unknown|Financial planning uses forecasts to provide insight into future financial capacity so that strategies can be developed to achieve long-term sustainability in light of the government’s service objectives and financial challenges.|IDP_MAIN
295|Environment|For the purpose of realizing the vision of making the IDP area an inclusive and sound environment for all by 2030, all LAPs will ensure that proposals for the development of a LAP are prepared in accordance with the principles of the IDP.|IDP_MAIN
296|Unknown|At institutional level, institutions will undertake input monitoring to ensure that the targeted investments are made to produce planned outputs which are expected to generate development outcomes.|IDP_MAIN
296|Unknown|The reports will ensure that implementation progress does not stagnate or deviate from the intended development outcomes.|IDP_MAIN
311|Commerce|Promotion of Prep Number of meeting Entire prep Anuall stakeholder 2 Hold 0 1 2 KMC/KCCI District meeting y meetings with held private, expo 2025 , Hold Kabwe Expo preparatory Number of meetings to help prep meeting promote PPP and KMC 0 4 2 2 Qtrly KMC/KCCI held to business to promote business joint PP ventures.|IDP_MAIN
313|Energy|Town Centre , Luang wa Towns hip, Makul ulu, Mukob eko, Highri dge, Meetings with Katon DNPW, KMC, game ranch do, 0 18 3 3 4 4 4 Number of Annual GAME Bwach meetings ly RANCH owners a, OWNERS Chima nimani , Chidw in Barrac ks, Zambi a Railwa ys Comp ound Number DNPW, Community of KMC, Sensitization/ Annu 0 4 2 2 sensitizati GAME meetings with ally on and RANCH the KMC trainings OWNERS fo liW e fil|IDP_MAIN
315|Education|Objective 17: To empower 2,016 youths with skills development under TEVETA by 2027 Training of 2,016 Number of d S e m v k e e il n l l o s t p w Em e n r t p m o e a y T p o E p u V r t o E h v T b e A y d w A ar l d l s 6 1 3 6 1 0 ,2 6 1 3 0 5 3 0 0 4 0 5 4 0 0 5 yo b u y t h T s E t V ra E in T e d Annually GRZ, KMC approved Schools schools 297|IDP_MAIN
316|Education|Program Activities Location elin 2 2 2 2 2 2 2 3 3 3 Indicator Freq y e get 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 Agency/Dept Objec Enhance Access to Quality, Equitable and Inclusive Education By 2027 tives Impro No.|IDP_MAIN
317|Unknown|of uction Infrastru To construct staff houses of cture 900 staff Across the quar 399 900 100 200 200 200 200 constructc MOE staff Develop houses in the district terly ed in the house ment district by 2027 district by s 2027 No.|IDP_MAIN
319|Water and Sanitation|Improve sanitation coverage from 70% to 90% by 2027, Increase solid waste collection and disposal from 40% to 70% by 2027 Object Recycle 25% of all solid waste collected by 2027 ives Improve sanitation coverage from 70% to 90% by 2027, Increase solid waste collection and disposal from 40% to 70% by 2027 Mainte Pollen (1), nance Njanji (1), No.|IDP_MAIN
326|Health|Object To reduce the maternal mortality ratio from 258 to 150 per 100 000 live births by end of 2024 ives: Figu To reduce the maternal mortality ratio from 258 to 150 per 100 000 live births by end of 2024 re 84: Loca tion Map of Kab we Distr ictOb ject ives: 308|IDP_MAIN
340|Environment|Table 62: District Monitoring and Evaluation Framework: -Environmental Sustainability (8NDP PILLAR 3) Locati Baseli Targ 3 4 5 6 7 8 9 0 1 2 Strategy Activities 2 2 2 2 2 2 2 3 3 3 Indicator Freq Responsible on ne et 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 0 2 Objective To reduce the rate of deforestation from by the end of 2027 Developme nt of integrated natural Development of resource Integrated No.|IDP_MAIN
340|Agriculture|trained enterprises farmers To reduce deforestatio n through Establishment of All No.|IDP_MAIN
340|Governance|woodlots Annua Forestry establishme 500 woodlots by 0 500 100 100 100 100 100 Wards created l Department nt of 500 2026 woodlots by 2026 To reduce deforestatio Establishment of n through All No.of plots Annua Forestry 100 agroforestry 0 100 20 20 20 20 20 establishme Wards created l Department plots nt of 100 agroforestry 322|IDP_MAIN
341|Environment|plots by 2026 To reduce deforestatio n through Establishment of No.|IDP_MAIN
341|Governance|of All Annua Forestry establishme 10 fruit orchards 0 10 2 2 2 2 2 orchards Wards l Department nt of 10 fruit by 2026 created orchards by 2026 To reduce deforestatio n through No.|IDP_MAIN
341|Environment|of tree establishme Establishment of All Annua Forestry 0 10 2 2 2 2 2 nurseries nt of 10 tree 10 tree nurseries Wards l Department created nurseries establishme nt by 2026 To reduce deforestatio n by Restocking and No.|IDP_MAIN
341|Environment|of trees l Department managing 2, forests planted 000 ha of gazetted forests Conducting 45 To reduce Community No.|IDP_MAIN
341|Governance|of All Forestry deforestatio mobilization and 0 45 9 9 9 9 9 trainings Qtrly Wards Department n by co sensitization conducted meeting Formation of 25 To reduce CFMG to practice All No.|IDP_MAIN
342|Agriculture|e e o d r f s Qtrly Agriculture Management Objective To enhance disaster risk reduction and response mechanisms by 2027 No.|IDP_MAIN
343|Environment|Objective To promote sustainable environment and natural resource management by the end of 2027 To conduct 59 communities Conduct No.|IDP_MAIN
344|Water and Sanitation|of Law preservation of 10 All recharge Month enforcemen water recharge 2 10 5 5 KMC, WARMA Wards points ly t points in the identified district Objective To remediate lead poisoning by 2027 To conduct tree/grass Former No of trees planting od 1500 Mine 0 1500 200 250 300 350 400 Qtrly KMC (ZMERIP) planted plants in the Areas Remediate district lead poisoning Conduct 50 Former No.|IDP_MAIN
346|Unknown|Centre, Indeni grounds Rehabilitati Number of on and sports maintenanc Clayton Annua 0 1 1 facilities e of Park l rehabilitat recreation ed facilities Objectives To provide adequate and affordable land for 2500 plots by 2027 Kangomba To alienate , Enhance land for No of Creation of Mpima,Wa 50 Annua access to housing 2500 2500 500 500 500 500 plots KMC 2500 Plots ya, 0 l land developmen created Sh|IDP_MAIN
351|Governance|Kabwe Municipal Council has a fundamental responsibility to establish an effective and efficient system of local government in the district and ensure the financial sustainability of the proposals in the IDP as well as creating a conducive environment that will facilitate inclusive economic growth and development.|IDP_MAIN
351|Governance|The Council has made a critical consideration of this inclusive economic growth that will reposition Kabwe as an investment destination of choice, enhance our industrial potential, diversifying the local economy and strengthening social services delivery while improving the status of the most vulnerable in our communities.|IDP_MAIN
351|Unknown|The IDP was also prepared to improve the efficiency of Local Authorities and other devolved service delivery institutions.|IDP_MAIN
353|Unknown|Kabwe Spatial Development Framework sets out the spatial vision and development priorities to achieve a reconfigured, inclusive spatial form for the district.|IDP_MAIN
